@relation 'cleaned_weather_data-weka.filters.unsupervised.attribute.NominalToBinary-R5,8,10'

@attribute Temperature numeric
@attribute Humidity numeric
@attribute 'Wind Speed' numeric
@attribute 'Precipitation (\%)' numeric
@attribute 'Cloud Cover=partly cloudy' numeric
@attribute 'Cloud Cover=clear' numeric
@attribute 'Cloud Cover=overcast' numeric
@attribute 'Cloud Cover=cloudy' numeric
@attribute 'Atmospheric Pressure' numeric
@attribute 'UV Index' numeric
@attribute Season=Winter numeric
@attribute Season=Spring numeric
@attribute Season=Summer numeric
@attribute Season=Autumn numeric
@attribute 'Visibility (km)' numeric
@attribute Location=inland numeric
@attribute Location=mountain numeric
@attribute Location=coastal numeric
@attribute 'Weather Type' {Rainy,Cloudy,Sunny,Snowy}

@data
20,50,9.5,22,0,0,1,0,1004.24,1,0,0,0,1,8.5,1,0,0,Cloudy
29,64,12.5,81,1,0,0,0,1005.58,0,0,1,0,0,3,0,0,1,Rainy
7,95,13,84,0,0,1,0,1003.23,4,0,1,0,0,1.5,0,1,0,Rainy
32,104,14,94,0,0,1,0,1018.38,9,0,0,1,0,3,0,1,0,Rainy
22,89,8.5,98,0,0,1,0,1017.79,1,0,0,1,0,2.5,0,0,1,Rainy
25,65,18,72,0,0,1,0,1000.77,1,0,0,1,0,4.5,0,1,0,Rainy
-8,46,14.5,63,0,0,1,0,826.16,8,0,0,0,1,2.5,0,0,1,Sunny
31,75,19.5,81,1,0,0,0,994.82,1,0,1,0,0,1.5,1,0,0,Rainy
34,56,6.5,37,0,0,1,0,1008.6,1,0,0,1,0,9,0,1,0,Cloudy
25,85,9,57,0,0,1,0,997.46,3,0,0,0,1,3.5,1,0,0,Rainy
19,88,7.5,50,1,0,0,0,996.16,0,0,0,1,0,4.5,1,0,0,Rainy
29,86,13.5,72,0,0,1,0,993.32,1,0,1,0,0,3.5,1,0,0,Rainy
32,59,7.5,43,0,0,1,0,1010.05,1,0,0,0,1,7,0,0,1,Cloudy
11,68,9,52,0,0,1,0,990.06,0,0,1,0,0,1.5,1,0,0,Rainy
29,91,13.5,100,1,0,0,0,1010.07,0,0,0,1,0,1,1,0,0,Rainy
27,54,2,16,0,0,1,0,1001.79,4,0,1,0,0,8,0,0,1,Cloudy
11,78,19,64,0,0,1,0,1018.65,2,0,0,1,0,2,1,0,0,Rainy
29,103,11.5,86,0,0,1,0,995.57,3,0,1,0,0,3.5,1,0,0,Rainy
33,67,7,58,1,0,0,0,992.1,1,0,0,1,0,3.5,1,0,0,Rainy
27,64,11,39,0,0,1,0,1010.17,3,0,1,0,0,8,0,1,0,Cloudy
20,81,35.5,77,1,0,0,0,1019.87,3,0,1,0,0,0.5,1,0,0,Rainy
31,56,7.5,35,0,0,1,0,1000.05,2,0,0,1,0,8,0,0,1,Cloudy
11,92,7.5,91,0,0,1,0,990.04,0,1,0,0,0,2,0,0,1,Rainy
31,78,8,37,0,0,1,0,1006.95,3,0,1,0,0,9,0,1,0,Cloudy
15,80,16,87,0,0,1,0,1002.6,3,0,0,0,1,4,1,0,0,Rainy
26,73,7,92,1,0,0,0,1016.65,3,0,0,1,0,2.5,1,0,0,Rainy
11,55,0.5,16,0,0,1,0,1016.35,4,0,1,0,0,6.5,1,0,0,Cloudy
-11,48,8,56,0,0,1,0,885.49,12,0,0,0,1,3.5,1,0,0,Cloudy
27,91,13.5,75,0,0,1,0,998.73,1,0,1,0,0,2.5,0,0,1,Rainy
32,82,13.5,71,1,0,0,0,999.87,0,0,0,1,0,3.5,0,0,1,Rainy
20,58,14,42,0,0,1,0,1007.02,2,0,1,0,0,8,0,0,1,Cloudy
11,94,11.5,58,1,0,0,0,992.57,2,1,0,0,0,2,0,0,1,Rainy
26,60,14,30,0,0,1,0,1019.34,3,0,1,0,0,6.5,0,1,0,Cloudy
12,91,20,81,0,0,1,0,997.82,10,0,0,0,1,2,0,1,0,Rainy
20,83,6.5,97,1,0,0,0,994.55,2,0,1,0,0,3.5,0,0,1,Rainy
32,94,13,80,0,0,1,0,992.52,2,0,0,1,0,3.5,1,0,0,Rainy
-1,37,4.5,55,0,0,1,0,1180.83,13,0,1,0,0,3,0,0,1,Rainy
25,64,11.5,58,0,0,1,0,1015.31,2,0,1,0,0,3.5,0,0,1,Rainy
47,31,9,66,0,0,1,0,817.51,4,0,0,1,0,0.5,0,1,0,Cloudy
18,70,9,92,0,0,1,0,1009.71,3,0,1,0,0,2,0,0,1,Rainy
21,54,0,16,0,0,1,0,1018.63,3,0,0,0,1,5.5,0,0,1,Cloudy
12,82,9.5,51,1,0,0,0,1011.51,3,0,0,0,1,4.5,1,0,0,Rainy
32,62,6,80,1,0,0,0,995.96,1,0,0,1,0,3,0,1,0,Rainy
10,94,14,62,0,0,1,0,996.24,3,0,0,1,0,4,1,0,0,Rainy
30,64,6,67,1,0,0,0,1009.12,3,0,0,1,0,4,0,0,1,Rainy
17,74,0.5,38,0,0,1,0,1012.1,4,0,1,0,0,7,0,0,1,Cloudy
19,97,9,56,0,0,1,0,1015.74,3,0,1,0,0,2,0,1,0,Rainy
16,109,19,106,0,0,1,0,1009.16,10,0,0,1,0,1.5,1,0,0,Rainy
29,92,15,79,0,0,1,0,992.23,2,0,0,0,1,3,1,0,0,Rainy
19,91,10,62,0,0,1,0,1004.94,2,1,0,0,0,2,0,0,1,Rainy
10,67,16.5,86,1,0,0,0,1001.44,3,0,1,0,0,4.5,0,0,1,Rainy
30,52,6,27,0,0,1,0,1013.51,1,0,0,1,0,8.5,0,0,1,Cloudy
10,94,13.5,62,0,0,1,0,1005.18,1,0,0,0,1,5,0,0,1,Rainy
-17,78,11,11,0,0,0,1,1076.14,10,0,0,1,0,4.5,0,1,0,Rainy
16,53,5.5,95,0,0,0,1,999.71,2,0,1,0,0,13,0,0,1,Snowy
12,89,19,98,0,0,1,0,991.74,0,1,0,0,0,4.5,0,0,1,Rainy
12,83,9.5,89,1,0,0,0,994.8,2,0,0,0,1,1.5,0,1,0,Rainy
11,65,9.5,90,0,0,1,0,994.47,1,0,1,0,0,3.5,1,0,0,Rainy
31,67,8,92,1,0,0,0,990.35,0,0,1,0,0,1.5,1,0,0,Rainy
10,77,18,62,0,0,1,0,1002.6,3,0,0,0,1,3,0,0,1,Rainy
33,64,12,75,1,0,0,0,1019.16,1,0,0,1,0,3.5,0,1,0,Rainy
25,82,19.5,86,0,0,1,0,1009.16,2,0,1,0,0,2,0,1,0,Rainy
56,83,42.5,79,1,0,0,0,1010.23,3,1,0,0,0,3.5,0,0,1,Rainy
44,109,23,83,0,0,1,0,1018.72,2,0,1,0,0,3.5,0,1,0,Cloudy
12,61,6,69,0,0,1,0,1014.34,0,0,0,0,1,2.5,0,0,1,Rainy
11,43,11.5,52,0,0,1,0,870.05,1,0,0,1,0,3.5,0,0,1,Snowy
15,67,2.5,48,0,0,1,0,1006.11,4,0,0,0,1,8,0,0,1,Cloudy
23,35,2.5,81,0,0,1,0,1187.76,12,0,0,0,1,5,1,0,0,Cloudy
22,99,18.5,57,0,0,1,0,1018.13,2,0,1,0,0,3,0,1,0,Rainy
33,85,27.5,84,1,0,0,0,991.68,0,1,0,0,0,6,0,0,1,Rainy
23,60,3.5,32,0,0,1,0,1002.44,3,0,0,0,1,8.5,1,0,0,Cloudy
18,65,13.5,17,0,0,1,0,1010.47,3,0,0,1,0,6.5,0,0,1,Cloudy
23,89,16.5,61,1,0,0,0,993.26,2,0,0,0,1,3.5,0,0,1,Rainy
31,82,17,57,0,0,1,0,1006.01,1,0,0,0,1,1.5,1,0,0,Rainy
26,68,6.5,32,0,0,1,0,1015.95,2,0,1,0,0,6,0,0,1,Cloudy
20,81,9.5,66,0,0,1,0,1004.71,3,0,1,0,0,2,0,0,1,Rainy
32,66,14,90,0,0,1,0,990.8,1,0,0,0,1,1.5,0,0,1,Rainy
57,103,11,71,1,0,0,0,1007.55,1,0,0,1,0,1,0,0,1,Rainy
28,41,11.5,42,0,0,1,0,944.45,1,0,0,1,0,5,0,0,1,Sunny
12,96,7,50,1,0,0,0,1010.03,0,0,0,1,0,3.5,0,1,0,Rainy
10,62,13,71,0,0,1,0,999.18,2,0,0,1,0,3,0,0,1,Rainy
28,61,12,51,0,0,1,0,994.89,3,1,0,0,0,4.5,0,0,1,Rainy
19,82,9,69,0,0,1,0,1001.62,2,0,0,1,0,2,0,1,0,Rainy
34,55,2.5,35,0,0,1,0,1002.57,1,0,1,0,0,9,0,1,0,Cloudy
26,62,7.5,75,0,0,1,0,1002.12,2,0,0,1,0,5,1,0,0,Rainy
19,69,11,86,0,0,1,0,1013.98,1,0,0,1,0,1.5,0,0,1,Rainy
10,85,17,59,0,0,1,0,1010.03,1,0,0,1,0,2,0,1,0,Rainy
23,83,6,56,0,0,1,0,1000.16,0,0,0,1,0,2.5,0,1,0,Rainy
4,58,14.5,46,0,0,1,0,809.82,7,0,0,0,1,16,0,0,1,Rainy
25,80,16.5,89,1,0,0,0,1004.05,2,0,1,0,0,3,1,0,0,Rainy
27,71,0,13,0,0,1,0,1019.28,2,0,0,0,1,9,0,1,0,Cloudy
35,89,15,94,0,0,1,0,1005.3,1,0,1,0,0,5,0,0,1,Cloudy
17,61,15,61,1,0,0,0,1018.76,1,0,0,0,1,1,0,1,0,Rainy
28,63,13.5,93,0,0,1,0,994.29,2,0,0,0,1,3,0,1,0,Rainy
20,71,14,77,1,0,0,0,1004.54,3,1,0,0,0,1.5,0,0,1,Rainy
30,59,9.5,22,0,0,1,0,1004.19,3,0,0,1,0,5,1,0,0,Cloudy
24,68,14,86,0,0,1,0,1006.37,1,0,0,0,1,4,0,0,1,Rainy
29,76,10,23,0,0,1,0,1017.51,4,0,1,0,0,7,0,1,0,Cloudy
17,62,10,65,1,0,0,0,1019.58,0,1,0,0,0,1.5,0,0,1,Rainy
27,68,12,23,0,0,1,0,819.83,8,0,0,0,1,2,0,1,0,Cloudy
19,70,6,64,1,0,0,0,1004.27,1,0,0,0,1,4.5,0,0,1,Rainy
26,88,16.5,97,0,0,1,0,990.55,1,0,1,0,0,5,0,1,0,Rainy
14,78,10,62,0,0,1,0,999.1,1,0,0,0,1,4,0,0,1,Rainy
49,78,32.5,107,0,0,1,0,1009.4,4,0,0,1,0,3.5,1,0,0,Rainy
37,77,17,98,0,0,1,0,1017.04,4,0,0,0,1,0,1,0,0,Rainy
12,50,3.5,25,0,0,1,0,1016.78,1,0,0,1,0,6,1,0,0,Cloudy
15,59,2.5,30,0,0,1,0,1011.33,2,0,0,1,0,8,1,0,0,Cloudy
16,103,24.5,72,0,0,1,0,1011.9,11,0,1,0,0,6,0,0,1,Cloudy
10,51,5,15,0,0,1,0,1015.31,2,0,0,1,0,7.5,0,1,0,Cloudy
12,69,17.5,73,0,0,1,0,990.32,2,0,0,0,1,2,0,0,1,Rainy
21,85,13,77,0,0,1,0,994.52,2,1,0,0,0,1.5,0,0,1,Rainy
15,74,19,81,1,0,0,0,1017.45,1,0,0,1,0,1.5,1,0,0,Rainy
32,84,8.5,70,0,0,1,0,1000.17,1,0,0,1,0,5,1,0,0,Rainy
33,85,16,58,0,0,1,0,1004.52,2,0,1,0,0,2,0,1,0,Rainy
20,98,16.5,55,0,0,1,0,1017.84,0,0,1,0,0,1,0,0,1,Rainy
11,80,8,93,0,0,1,0,1003.54,3,0,1,0,0,1,0,1,0,Rainy
17,95,10,93,0,0,1,0,1016.29,3,0,1,0,0,3.5,1,0,0,Rainy
33,96,12,104,0,0,1,0,999.8,13,0,0,0,1,1.5,0,1,0,Rainy
0,31,14.5,45,0,0,1,0,1060.43,6,1,0,0,0,19.5,0,0,1,Rainy
31,92,11,96,1,0,0,0,994.13,1,0,0,0,1,4,0,1,0,Rainy
28,79,13,21,0,0,1,0,1008.35,4,0,1,0,0,6,0,1,0,Cloudy
24,64,13.5,36,0,0,1,0,1013.25,2,0,1,0,0,5.5,0,1,0,Cloudy
24,78,18.5,54,0,0,1,0,1009.18,0,0,1,0,0,1.5,0,0,1,Rainy
14,78,15,17,0,0,1,0,1010.49,2,0,1,0,0,9,0,0,1,Cloudy
29,93,32,89,0,0,1,0,1008.32,12,0,0,1,0,4.5,0,0,1,Rainy
22,85,6.5,94,0,0,1,0,1008.01,2,0,1,0,0,4,0,1,0,Rainy
48,74,15,72,0,0,1,0,925.56,4,0,1,0,0,2.5,0,1,0,Rainy
30,64,8,91,0,0,1,0,1016.11,0,0,0,0,1,3,0,0,1,Rainy
28,88,9,66,0,0,1,0,1000.65,2,0,0,1,0,4.5,0,0,1,Rainy
28,81,18.5,91,0,0,1,0,1003.3,3,1,0,0,0,2.5,0,0,1,Rainy
5,102,31,108,1,0,0,0,1005.89,10,0,0,1,0,2,1,0,0,Rainy
58,87,14.5,74,0,0,1,0,1005.7,7,1,0,0,0,2,0,0,1,Rainy
18,96,5,59,0,0,1,0,995.52,0,0,1,0,0,3,0,1,0,Rainy
33,67,5.5,16,0,0,1,0,1014.51,1,0,0,0,1,6.5,0,1,0,Cloudy
31,53,6,14,0,0,1,0,1018.54,2,0,0,0,1,8,0,1,0,Cloudy
34,77,11.5,75,0,0,1,0,1003.73,1,0,1,0,0,5,1,0,0,Rainy
21,78,9.5,99,0,0,1,0,1006.31,2,0,0,1,0,2.5,0,1,0,Rainy
48,25,1.5,57,0,0,0,1,1026.66,13,0,1,0,0,7.5,1,0,0,Rainy
33,67,4.5,46,0,0,1,0,1013.32,4,0,1,0,0,9,0,1,0,Cloudy
12,97,13,94,1,0,0,0,991.75,1,1,0,0,0,4.5,0,0,1,Rainy
49,41,1.5,82,0,0,0,1,1182.84,11,0,1,0,0,10,0,1,0,Rainy
15,72,35.5,99,0,0,1,0,1012.96,1,0,0,0,1,5,1,0,0,Rainy
34,71,10,70,1,0,0,0,1010.73,2,0,1,0,0,3,1,0,0,Rainy
13,61,12,97,0,0,1,0,1013.72,0,0,0,1,0,4.5,1,0,0,Rainy
30,78,14,34,0,0,1,0,1004.74,4,0,1,0,0,8.5,0,0,1,Cloudy
17,76,18,54,0,0,1,0,1001.43,2,0,0,0,1,5,0,1,0,Rainy
26,61,13.5,25,0,0,1,0,1000.09,3,0,0,1,0,6.5,0,1,0,Cloudy
26,81,1.5,97,0,0,1,0,1003.38,4,0,1,0,0,12.5,0,0,1,Cloudy
30,71,14.5,23,0,0,1,0,1002.99,4,0,1,0,0,7.5,0,1,0,Cloudy
21,66,11.5,71,0,0,1,0,1019.63,1,0,0,1,0,1,1,0,0,Rainy
10,75,6.5,90,1,0,0,0,995.21,3,0,1,0,0,3,1,0,0,Rainy
19,70,26.5,100,0,0,1,0,1012.31,9,0,0,1,0,2,1,0,0,Rainy
33,77,17,54,1,0,0,0,1009.03,3,0,0,1,0,2,0,0,1,Rainy
31,67,5.5,54,0,0,1,0,993.57,3,1,0,0,0,4.5,0,0,1,Rainy
11,65,9.5,92,0,0,1,0,1012.44,1,0,0,1,0,2.5,1,0,0,Rainy
26,97,15.5,70,0,0,1,0,992.5,0,0,1,0,0,1.5,1,0,0,Rainy
20,93,14.5,75,0,0,1,0,990.41,1,0,0,0,1,3.5,0,0,1,Rainy
25,75,26,80,1,0,0,0,1010.88,8,0,0,0,1,5.5,1,0,0,Rainy
29,74,6.5,99,1,0,0,0,992.39,2,0,0,1,0,5,0,0,1,Rainy
21,99,10,67,0,0,1,0,1007.75,1,0,0,0,1,4.5,0,0,1,Rainy
28,71,15.5,89,1,0,0,0,1006.55,10,0,1,0,0,5,1,0,0,Rainy
12,90,15,78,1,0,0,0,1018.83,0,1,0,0,0,2,0,0,1,Rainy
-13,51,12.5,36,0,0,0,1,966.19,2,0,0,0,1,19,0,0,1,Rainy
21,60,9,74,1,0,0,0,1006.74,2,0,0,1,0,1.5,1,0,0,Rainy
31,97,20,54,0,0,1,0,1003.01,1,0,1,0,0,4.5,0,1,0,Rainy
14,72,10.5,79,0,0,1,0,1018.46,7,0,1,0,0,1.5,1,0,0,Cloudy
12,70,7,31,0,0,1,0,1019.02,2,0,0,0,1,6.5,0,0,1,Cloudy
10,81,14.5,63,0,0,1,0,1019.82,0,0,0,1,0,4.5,0,1,0,Rainy
-4,73,0,81,0,0,1,0,892.31,14,0,0,1,0,15.5,1,0,0,Sunny
24,84,16.5,65,0,0,1,0,1007,0,0,0,1,0,4.5,0,1,0,Rainy
14,77,14.5,95,1,0,0,0,1012.02,3,0,1,0,0,4,1,0,0,Rainy
27,99,8,87,0,0,1,0,1000.2,2,0,0,0,1,2,0,1,0,Rainy
16,70,7.5,29,0,0,1,0,1019.3,2,0,0,0,1,8.5,0,1,0,Cloudy
14,83,16.5,79,0,0,1,0,1014.83,3,0,1,0,0,4,1,0,0,Rainy
24,89,14,80,0,0,1,0,1005.61,3,0,0,1,0,4,0,0,1,Rainy
29,92,10.5,92,1,0,0,0,998.75,1,0,0,0,1,3.5,0,0,1,Rainy
61,104,7.5,85,0,0,1,0,1005.83,11,0,0,0,1,5,0,0,1,Cloudy
17,77,7,59,0,0,1,0,997.83,2,0,0,1,0,1.5,0,0,1,Rainy
30,57,12.5,33,0,0,1,0,1002.2,1,0,0,0,1,7,1,0,0,Cloudy
27,91,18,86,1,0,0,0,996.14,0,0,0,1,0,3.5,0,0,1,Rainy
29,62,13.5,33,0,0,1,0,1017.15,4,0,0,1,0,7.5,0,0,1,Cloudy
-11,32,3.5,75,0,0,1,0,1172.42,7,0,1,0,0,1,0,0,1,Sunny
22,51,4.5,31,0,0,1,0,1002.13,3,0,1,0,0,6,1,0,0,Cloudy
17,51,10.5,21,0,0,1,0,1006.16,2,0,0,1,0,8,1,0,0,Cloudy
32,87,8,69,1,0,0,0,1015.68,3,0,0,1,0,4.5,0,0,1,Rainy
11,95,5.5,65,1,0,0,0,997.77,2,0,0,0,1,4,0,0,1,Rainy
38,103,33.5,86,0,0,1,0,1005.38,10,0,0,1,0,1.5,1,0,0,Rainy
16,69,11,54,0,0,1,0,810.22,9,0,1,0,0,16.5,1,0,0,Cloudy
32,67,8.5,19,0,0,1,0,1015.46,2,0,1,0,0,8,1,0,0,Cloudy
24,56,1.5,40,0,0,1,0,1018.87,2,0,0,0,1,7.5,1,0,0,Cloudy
24,87,38,86,1,0,0,0,1004.15,14,0,1,0,0,2.5,1,0,0,Rainy
18,100,19,72,0,0,1,0,1013.43,12,0,1,0,0,1.5,0,0,1,Rainy
-5,38,0,92,0,0,1,0,1015.37,5,0,0,0,1,10,0,1,0,Rainy
24,87,19.5,68,0,0,1,0,998.14,1,1,0,0,0,1,0,0,1,Rainy
29,79,16,80,1,0,0,0,1002.95,1,0,1,0,0,4,0,0,1,Rainy
30,61,9,73,0,0,1,0,1014.13,3,0,1,0,0,4.5,0,1,0,Rainy
22,71,12.5,84,1,0,0,0,990.67,0,0,0,0,1,3.5,0,1,0,Rainy
11,95,11.5,91,0,0,1,0,996.78,1,1,0,0,0,1.5,0,0,1,Rainy
10,93,16.5,67,0,0,1,0,1010.59,0,0,0,0,1,5,1,0,0,Rainy
34,63,7,77,0,0,1,0,997.25,1,0,1,0,0,3.5,1,0,0,Rainy
17,68,19.5,97,1,0,0,0,1000.21,0,0,1,0,0,1,0,0,1,Rainy
13,80,15.5,59,0,0,1,0,1012.06,0,0,0,0,1,3.5,0,1,0,Rainy
22,86,12,65,1,0,0,0,999.86,1,0,0,1,0,3.5,0,1,0,Rainy
46,76,28.5,108,0,0,1,0,1000.36,4,0,0,0,1,2.5,0,1,0,Rainy
17,95,15,57,0,0,1,0,1009.1,2,0,0,0,1,4.5,1,0,0,Rainy
18,76,1,38,0,0,1,0,1016.39,3,0,0,0,1,5,0,1,0,Cloudy
14,69,14,65,0,0,1,0,1012.87,0,0,1,0,0,4,1,0,0,Rainy
24,93,6,75,0,0,1,0,1000.49,1,0,0,1,0,2.5,0,0,1,Rainy
26,74,9.5,82,0,0,1,0,1006.58,1,0,0,0,1,3,1,0,0,Rainy
22,98,16.5,59,1,0,0,0,1008.4,0,0,0,0,1,2.5,0,0,1,Rainy
19,73,18.5,80,0,0,1,0,1008,2,0,1,0,0,2.5,0,1,0,Rainy
30,78,19,55,1,0,0,0,996.14,3,0,1,0,0,4.5,0,0,1,Rainy
18,86,7,66,1,0,0,0,1011.66,3,0,0,1,0,3.5,0,1,0,Rainy
28,72,8,71,0,0,1,0,1003.7,1,0,0,1,0,2.5,1,0,0,Rainy
26,95,13.5,75,0,0,1,0,1011.06,3,1,0,0,0,3.5,0,0,1,Rainy
20,95,16,91,0,0,1,0,1016.14,0,0,0,1,0,2.5,0,1,0,Rainy
17,68,18,82,0,0,1,0,1009.65,0,0,0,0,1,3,1,0,0,Rainy
37,109,22,94,0,0,1,0,1019.37,0,0,0,0,1,1.5,0,1,0,Rainy
32,84,19.5,57,1,0,0,0,1018.35,0,0,0,0,1,1.5,0,0,1,Rainy
-12,29,9,58,0,0,1,0,845.51,1,0,0,0,1,16.5,0,1,0,Snowy
14,72,19,52,0,0,1,0,1012.03,3,0,1,0,0,2.5,0,0,1,Rainy
51,108,16,70,0,0,1,0,1005.05,5,1,0,0,0,1.5,0,0,1,Rainy
12,100,43,109,1,0,0,0,1018.6,8,0,0,1,0,3,0,1,0,Rainy
30,70,7.5,35,0,0,1,0,1006.08,2,0,1,0,0,6.5,0,0,1,Cloudy
26,88,7.5,92,0,0,1,0,992.28,1,0,1,0,0,4,0,0,1,Rainy
16,92,25.5,80,0,0,1,0,1016.66,7,0,0,0,1,2.5,0,0,1,Rainy
20,75,10.5,81,0,0,1,0,1015.58,0,0,1,0,0,1,1,0,0,Rainy
21,92,7.5,69,0,0,1,0,996.42,2,0,0,1,0,2,0,0,1,Rainy
-17,75,4,54,1,0,0,0,976.26,11,0,1,0,0,16.5,0,0,1,Rainy
21,56,13,19,0,0,1,0,1017.64,1,0,0,0,1,6,0,1,0,Cloudy
23,77,14,21,0,0,1,0,1017.52,2,0,0,1,0,8,0,1,0,Cloudy
21,77,15,75,0,0,1,0,1002.98,3,0,0,0,1,2.5,0,0,1,Rainy
42,50,13,80,0,0,1,0,863.04,3,0,0,1,0,17,0,0,1,Rainy
15,68,9,89,0,0,1,0,1006.18,3,0,0,0,1,3.5,0,0,1,Rainy
30,74,15,87,1,0,0,0,1004.16,1,0,0,1,0,2,1,0,0,Rainy
22,86,9.5,52,1,0,0,0,1010.08,3,0,1,0,0,3,1,0,0,Rainy
30,69,20,80,0,0,1,0,995.21,3,0,0,0,1,3.5,1,0,0,Rainy
63,107,13,95,1,0,0,0,997.91,4,0,1,0,0,1.5,0,1,0,Rainy
20,77,9,21,0,0,1,0,1014.53,1,0,0,1,0,7.5,0,1,0,Cloudy
13,86,18,77,0,0,1,0,1014.28,2,0,0,0,1,4.5,0,0,1,Rainy
19,83,0,97,0,0,1,0,1008.02,5,0,0,1,0,0.5,1,0,0,Cloudy
14,67,14.5,33,0,0,1,0,1012.13,1,0,0,1,0,5.5,0,0,1,Cloudy
21,67,17.5,77,1,0,0,0,1005.65,3,0,0,0,1,3.5,1,0,0,Rainy
11,65,14.5,65,0,0,1,0,1009.85,3,0,0,0,1,1.5,1,0,0,Rainy
17,80,16.5,58,1,0,0,0,1017.52,1,0,1,0,0,3,0,1,0,Rainy
21,69,7.5,27,0,0,1,0,1015.58,1,0,0,0,1,6.5,0,1,0,Cloudy
14,66,7.5,20,0,0,1,0,1015.78,4,0,1,0,0,7,0,0,1,Cloudy
26,62,15.5,90,1,0,0,0,1009.38,2,0,0,0,1,1.5,0,0,1,Rainy
30,66,11,75,0,0,1,0,993.26,3,0,0,0,1,3.5,0,1,0,Rainy
57,71,18,84,0,0,1,0,1009.18,2,0,0,0,1,1,1,0,0,Rainy
25,76,5.5,92,0,0,1,0,995.26,0,0,1,0,0,2,0,1,0,Rainy
26,98,11,64,1,0,0,0,993.19,0,0,0,1,0,2,0,0,1,Rainy
16,71,19,70,0,0,1,0,1008.4,2,0,0,1,0,2.5,0,1,0,Rainy
48,50,10,93,1,0,0,0,1123.33,8,0,0,1,0,16.5,0,0,1,Rainy
14,65,10.5,58,0,0,1,0,1007.55,0,0,0,1,0,3,0,0,1,Rainy
46,87,30.5,71,0,0,1,0,1002.98,14,0,0,1,0,1,0,0,1,Rainy
19,76,9.5,14,0,0,1,0,1012.3,2,0,1,0,0,6.5,1,0,0,Cloudy
16,82,27.5,81,0,0,1,0,995.65,3,0,0,0,1,2,0,0,1,Rainy
17,71,19,74,0,0,1,0,1001.64,3,0,1,0,0,1.5,1,0,0,Rainy
13,69,15,93,0,0,1,0,994.69,1,0,0,0,1,2.5,0,0,1,Rainy
19,56,5,28,0,0,1,0,1000.45,4,0,0,1,0,7.5,1,0,0,Cloudy
25,74,13.5,47,0,0,1,0,1012.54,1,0,0,0,1,5,1,0,0,Cloudy
11,94,9.5,77,1,0,0,0,1013.56,0,0,0,1,0,3,1,0,0,Rainy
34,74,7,93,0,0,1,0,995.75,1,1,0,0,0,2,0,0,1,Rainy
10,93,11.5,73,1,0,0,0,999.81,3,0,1,0,0,4,0,0,1,Rainy
-12,64,14.5,39,0,0,1,0,978.38,9,0,0,1,0,5,1,0,0,Snowy
