DATE,WIND,IND,RAIN,IND.1,T.MAX,IND.2,T.MIN,T.MIN.G
31/12/1961,10.04,0,1.3,0,1.5,1,-11,-13.4
01/01/1962,10.41,0,0,0,1.2,1,-10.7,NA
02/01/1962,8.46,0,0,1,-0.1,1,-7.8,-10.5
03/01/1962,4.58,0,0,0,1.8,1,-8.1,-8.8
04/01/1962,5.5,0,0,0,6,1,-3.8,NA
05/01/1962,15.29,0,1.8,0,9.1,1,-2.3,-7.1
06/01/1962,8.46,0,2.1,0,11.6,0,4.6,2.4
07/01/1962,14.29,0,0,0,8.8,0,4.5,0.6
08/01/1962,17.71,0,6.8,0,10.8,0,6.2,3.3
09/01/1962,15.29,0,0,0,6.2,0,3.1,0.5
10/01/1962,14.29,0,4.2,0,12.5,0,1.7,-1.1
11/01/1962,25.96,0,0.7,0,7.6,0,2.4,0
12/01/1962,23.54,0,0.1,0,7.6,0,3.2,0.7
13/01/1962,19.7,0,0,0,5.5,0,0,-1.2
14/01/1962,12.42,0,0.1,0,8.6,0,0.5,-2.6
15/01/1962,20.38,0,7.8,0,11.5,0,0.8,-0.3
16/01/1962,19.75,0,2.7,0,8.1,0,2.6,-0.5
17/01/1962,22.79,0,1,0,8.6,0,2.8,3.8
18/01/1962,12.46,0,0,0,8.3,0,1.1,-2.7
19/01/1962,16.08,0,1.1,0,9.8,0,2.2,1.6
20/01/1962,10.29,0,1.1,0,11.1,0,4.2,1.8
21/01/1962,17.29,0,2.4,0,8.8,0,5.5,3.8
22/01/1962,23.25,0,0,0,6.2,0,1.8,-0.5
23/01/1962,12.71,0,2.6,0,11.2,0,2.3,-0.4
24/01/1962,17.25,0,1,0,11.7,0,3.3,1.1
25/01/1962,18.29,0,0,0,11.3,0,7.2,5.4
26/01/1962,7.41,0,0.9,0,8.7,0,7,4.7
27/01/1962,5.17,0,0,0,7.7,0,4.6,1.8
28/01/1962,3.63,0,0,0,8.2,0,5.6,5
29/01/1962,2.17,0,0,0,10.2,0,5.5,4.5
30/01/1962,13.33,0,0.3,0,11.1,0,1.1,-2.7
31/01/1962,22.42,0,2,0,12.2,0,6.1,NA
01/02/1962,15.71,0,0.3,0,7.4,0,1.6,-0.5
02/02/1962,13.17,0,0.8,0,10,0,2.1,1.1
03/02/1962,15.96,0,0,0,10.7,0,3.6,-1.7
04/02/1962,18.88,0,4,0,10.2,0,3.8,1.1
05/02/1962,15.75,0,0,0,10.7,0,3.3,0.4
06/02/1962,18.75,0,2.6,0,11.6,0,3.8,1.8
07/02/1962,25,0,1.1,0,8.5,0,5.5,3.8
08/02/1962,8.21,0,0.1,2,10,0,1.7,-1.4
09/02/1962,12.08,0,0,0,11.2,2,1.7,NA
10/02/1962,14.96,0,1.1,0,10.5,0,6.8,6
11/02/1962,24.41,0,0.4,0,12.4,0,1.7,-2.2
12/02/1962,29.54,0,0.7,2,12.5,0,4.4,NA
13/02/1962,15.79,0,2.7,0,6.1,0,2,-0.1
14/02/1962,11.71,0,0,0,6.8,1,-1.1,-4
15/02/1962,23.45,0,2.9,0,10.7,0,0.1,-5
16/02/1962,28.84,0,0,0,8.8,0,6.3,5.5
17/02/1962,14.12,0,0,0,10.5,0,3.1,2.4
18/02/1962,8.29,0,0,0,9.8,0,3.8,-0.8
19/02/1962,7.92,0,0,0,10.8,0,6.2,2.2
20/02/1962,1.46,0,0,0,10.6,0,4.8,2.7
21/02/1962,7.04,0,0,0,9.5,0,6.1,5.4
22/02/1962,15.29,0,0,0,6.6,0,2.7,-2.3
23/02/1962,20.21,0,0,0,4,0,3.2,-0.5
24/02/1962,18.12,0,0,0,5.7,0,2.2,1.1
25/02/1962,22.63,0,0.4,0,4.6,0,2.3,1.7
26/02/1962,25.62,0,5.4,0,2.7,1,-1,-1.5
27/02/1962,26.87,0,0,0,3.5,1,-1,-0.8
28/02/1962,13.88,0,5.5,0,3.6,1,-0.5,-1.1
01/03/1962,7.96,0,1.1,0,3.5,0,0,-0.1
02/03/1962,9.59,0,0.5,0,5.5,0,0.1,-1.6
03/03/1962,6.71,0,5,0,1,1,-6,-5.4
04/03/1962,5.33,0,0,0,3.3,1,-7.4,-8.8
05/03/1962,5.79,0,0,0,6.1,1,-6.2,-12
06/03/1962,8,0,0,0,6.1,1,-6.6,-12
07/03/1962,29.58,0,2.7,0,5.5,1,-1.2,-4.7
08/03/1962,18,0,13.9,0,6.2,0,1.2,0.3
09/03/1962,9,0,6,0,9.2,0,2.7,1.6
10/03/1962,3.83,0,7.7,0,8.3,0,5.8,6.6
11/03/1962,10.92,0,2.7,2,5.5,0,4.5,4.5
12/03/1962,7.71,0,0,0,6.1,0,3.1,1.1
13/03/1962,6.83,0,0,0,5.7,1,-2.7,-7.2
14/03/1962,4,0,0,0,5.4,1,-3.8,-10
15/03/1962,16.54,0,3,0,5.6,0,0.2,-3.2
16/03/1962,12.58,0,0,0,6.1,0,1.7,1.8
